name	asciiname	longitude	latitude	countryCode	population
N’dalatando	N'dalatando	14.91162	-9.29782	AO	383100
Mbanza Congo	Mbanza Congo	14.2401	-6.26703	AO	24220
Malanje	Malanje	16.34096	-9.54015	AO	87046
Luanda	Luanda	13.23432	-8.83682	AO	2776168
Caxito	Caxito	13.66425	-8.57848	AO	28224
Camabatela	Camabatela	15.37495	-8.18812	AO	12837
Cabinda	Cabinda	12.2	-5.55	AO	66020
Uacu Cungo	Uacu Cungo	15.11719	-11.35669	AO	10970
Sumbe	Sumbe	13.84371	-11.20605	AO	33277
Quibala	Quibala	14.97995	-10.73366	AO	8915
Ondjiva	Ondjiva	15.73333	-17.06667	AO	10169
Namibe	Namibe	12.15222	-15.19611	AO	80149
Menongue	Menongue	17.69099	-14.6585	AO	32203
Luena	Luena	19.91667	-11.78333	AO	21115
Lubango	Lubango	13.4925	-14.91717	AO	102541
Longonjo	Longonjo	15.25333	-12.90667	AO	24346
Lobito	Lobito	13.53601	-12.3644	AO	207932
Cuito	Cuito	16.93333	-12.38333	AO	113624
Huambo	Huambo	15.73917	-12.77611	AO	226145
Chissamba	Chissamba	17.33333	-12.16667	AO	7677
Catumbela	Catumbela	13.54677	-12.43002	AO	16977
Catabola	Catabola	17.28333	-12.15	AO	18855
Camacupa	Camacupa	17.48333	-12.01667	AO	19150
Caluquembe	Caluquembe	14.68333	-13.78333	AO	30300
Caconda	Caconda	15.06667	-13.73333	AO	10549
Caála	Caala	15.56056	-12.8525	AO	21205
Benguela	Benguela	13.40547	-12.57626	AO	151226
Chela	Chela	15.43358	-12.30261	AO	5811
Zárate	Zarate	-59.02858	-34.09814	AR	88781
Villa Ortúzar	Villa Ortuzar	-58.46829	-34.57973	AR	22500
Villa Ocampo	Villa Ocampo	-59.35515	-28.48752	AR	19101
Villa María Grande	Villa Maria Grande	-59.90182	-31.66565	AR	7101
Villa Lugano	Villa Lugano	-58.47263	-34.67907	AR	114000
Villa Hernandarias	Villa Hernandarias	-59.985	-31.23101	AR	5375
Villaguay	Villaguay	-59.02689	-31.8653	AR	32027
Villa Gesell	Villa Gesell	-56.97304	-37.26394	AR	23257
